,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
8337,2018,Jaring insang berlapis,1092000,2,2018-02-28T00:00:00.000,2018-03-01T00:00:00.000,Kembung Perempuan [RAB],39
8804,2018,Jaring insang berlapis,616000,2,2018-03-02T00:00:00.000,2018-03-03T00:00:00.000,Kembung Perempuan [RAB],22
9125,2018,Jaring insang berlapis,1904000,1,2018-03-05T00:00:00.000,2018-03-05T00:00:00.000,Kembung Perempuan [RAB],68
9337,2018,Jaring insang berlapis,1232000,2,2018-03-05T00:00:00.000,2018-03-06T00:00:00.000,Kembung Perempuan [RAB],44
9608,2018,Jaring insang berlapis,1428000,2,2018-03-06T00:00:00.000,2018-03-07T00:00:00.000,Kembung Perempuan [RAB],51
9760,2018,Jaring insang berlapis,1624000,2,2018-03-07T00:00:00.000,2018-03-08T00:00:00.000,Kembung Perempuan [RAB],58
9976,2018,Jaring insang berlapis,1204000,2,2018-03-08T00:00:00.000,2018-03-09T00:00:00.000,Kembung Perempuan [RAB],43
10156,2018,Bagan perahu,340000,3,2018-03-08T00:00:00.000,2018-03-10T00:00:00.000,Kembung Perempuan [RAB],17
10176,2018,Jaring insang berlapis,1848000,2,2018-03-09T00:00:00.000,2018-03-10T00:00:00.000,Kembung Perempuan [RAB],66
10350,2018,Jaring insang berlapis,644000,2,2018-03-11T00:00:00.000,2018-03-12T00:00:00.000,Kembung Perempuan [RAB],23
10360,2018,Bagan perahu,975000,3,2018-03-10T00:00:00.000,2018-03-12T00:00:00.000,Kembung Perempuan [RAB],39
10514,2018,Bagan perahu,150000,3,2018-03-11T00:00:00.000,2018-03-13T00:00:00.000,Kembung Perempuan [RAB],6
10564,2018,Jaring insang berlapis,952000,2,2018-03-12T00:00:00.000,2018-03-13T00:00:00.000,Kembung Perempuan [RAB],34
10665,2018,Bagan perahu,75000,2,2018-03-13T00:00:00.000,2018-03-14T00:00:00.000,Kembung Perempuan [RAB],3
10683,2018,Bagan perahu,325000,2,2018-03-13T00:00:00.000,2018-03-14T00:00:00.000,Kembung Perempuan [RAB],13
10699,2018,Bagan perahu,625000,3,2018-03-12T00:00:00.000,2018-03-14T00:00:00.000,Kembung Perempuan [RAB],25
10704,2018,Jaring insang berlapis,896000,2,2018-03-13T00:00:00.000,2018-03-14T00:00:00.000,Kembung Perempuan [RAB],32
10715,2018,Bagan perahu,1375000,3,2018-03-12T00:00:00.000,2018-03-14T00:00:00.000,Kembung Perempuan [RAB],55
10815,2018,Bagan perahu,275000,2,2018-03-14T00:00:00.000,2018-03-15T00:00:00.000,Kembung Perempuan [RAB],11
10816,2018,Bagan perahu,275000,3,2018-03-13T00:00:00.000,2018-03-15T00:00:00.000,Kembung Perempuan [RAB],11
10836,2018,Bagan perahu,775000,2,2018-03-14T00:00:00.000,2018-03-15T00:00:00.000,Kembung Perempuan [RAB],31
10840,2018,Bagan perahu,825000,3,2018-03-13T00:00:00.000,2018-03-15T00:00:00.000,Kembung Perempuan [RAB],33
10842,2018,Jaring insang berlapis,952000,2,2018-03-14T00:00:00.000,2018-03-15T00:00:00.000,Kembung Perempuan [RAB],34
10944,2018,Bagan perahu,900000,3,2018-03-14T00:00:00.000,2018-03-16T00:00:00.000,Kembung Perempuan [RAB],36
10963,2018,Bagan perahu,1775000,2,2018-03-15T00:00:00.000,2018-03-16T00:00:00.000,Kembung Perempuan [RAB],71
11048,2018,Bagan perahu,150000,2,2018-03-16T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],6
11052,2018,Bagan perahu,200000,3,2018-03-15T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],8
11096,2018,Bagan perahu,575000,3,2018-03-15T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],23
11098,2018,Bagan perahu,625000,3,2018-03-15T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],25
11113,2018,Jaring insang berlapis,1064000,2,2018-03-16T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],38
